,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.218,0.09,0.226,0.192,0.146,0.208,0.242,0.232
dataset2,0.128,0.054,0.13,0.126,0.102,0.138,0.156,0.146
dataset3,0.282,0.08,0.24,0.144,0.156,0.27,0.362,0.41
dataset4,0.204,0.096,0.214,0.144,0.078,0.154,0.224,0.218
dataset5,0.222,0.064,0.284,0.108,0.098,0.262,0.274,0.284
dataset6,0.242,0.118,0.258,0.082,0.17,0.21,0.272,0.272
dataset7,0.226,0.082,0.25,0.192,0.168,0.17,0.368,0.232
dataset8,0.488,0.098,0.506,0.338,0.192,0.302,0.414,0.272
dataset9,0.344,0.102,0.318,0.218,0.16,0.334,0.4,0.392
dataset10,0.214,0.032,0.192,0.18,0.112,0.172,0.226,0.22
dataset11,0.172,0.084,0.142,0.102,0.13,0.112,0.19,0.162
dataset12,0.246,0.072,0.234,0.196,0.156,0.186,0.32,0.314
dataset13,0.21,0.086,0.27,0.14,0.124,0.154,0.272,0.304
dataset14,0.318,0.088,0.234,0.32,0.238,0.304,0.35,0.334
dataset15,0.256,0.088,0.174,0.184,0.194,0.136,0.166,0.15
dataset16,0.506,0.096,0.134,0.31,0.264,0.254,0.312,0.558
dataset17,0.34,0.116,0.396,0.158,0.186,0.416,0.446,0.458
dataset18,0.228,0.088,0.388,0.168,0.15,0.292,0.294,0.374
dataset19,0.048,0.012,0.038,0.236,0.058,0.066,0.064,0.062
dataset20,0.256,0.072,0.244,0.162,0.13,0.208,0.302,0.31
dataset21,0.104,0.094,0.152,0.136,0.142,0.134,0.144,0.142
dataset22,0.19,0.108,0.22,0.146,0.126,0.206,0.204,0.202
dataset23,0.17,0.068,0.21,0.122,0.118,0.162,0.192,0.17
dataset24,0.174,0.066,0.152,0.106,0.12,0.132,0.164,0.122
dataset25,0.164,0.072,0.208,0.112,0.086,0.114,0.226,0.204
dataset26,0.324,0.11,0.254,0.186,0.194,0.218,0.38,0.328
