,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.26,0.06,0.3,0.18,0.2,0.12,0.2,0.22
dataset2,0.1,0.06,0.18,0.16,0.04,0.1,0.18,0.14
dataset3,0.42,0.06,0.18,0.1,0.14,0.26,0.2,0.24
dataset4,0.12,0.14,0.26,0.14,0.1,0.12,0.24,0.2
dataset5,0.3,0.12,0.22,0.08,0.22,0.18,0.3,0.16
dataset6,0.3,0.12,0.26,0.06,0.16,0.12,0.26,0.12
dataset7,0.26,0.16,0.28,0.22,0.18,0.24,0.3,0.24
dataset8,0.4,0.16,0.54,0.4,0.22,0.38,0.52,0.38
dataset9,0.48,0.04,0.22,0.1,0.24,0.28,0.4,0.34
dataset10,0.3,0.04,0.14,0.14,0.1,0.14,0.16,0.2
dataset11,0.12,0.1,0.14,0.18,0.06,0.14,0.14,0.22
dataset12,0.28,0.1,0.46,0.2,0.22,0.16,0.14,0.26
dataset13,0.34,0.02,0.26,0.16,0.06,0.14,0.3,0.3
dataset14,0.5,0.04,0.38,0.32,0.2,0.32,0.36,0.42
dataset15,0.48,0.12,0.28,0.1,0.24,0.32,0.34,0.26
dataset16,0.32,0.04,0.26,0.16,0.26,0.2,0.32,0.62
dataset17,0.42,0.08,0.36,0.16,0.28,0.16,0.36,0.36
dataset18,0.22,0.08,0.28,0.04,0.2,0.18,0.24,0.24
dataset19,0.14,0.04,0.14,0.06,0.02,0.16,0.14,0.14
dataset20,0.24,0.06,0.22,0.18,0.1,0.16,0.24,0.38
dataset21,0.02,0.08,0.14,0.16,0.14,0.16,0.14,0.16
dataset22,0.32,0.1,0.26,0.04,0.08,0.24,0.24,0.14
dataset23,0.2,0.06,0.24,0.14,0.14,0.1,0.2,0.22
dataset24,0.28,0.08,0.22,0.06,0.1,0.16,0.14,0.08
dataset25,0.24,0.08,0.22,0.04,0.1,0.1,0.24,0.2
dataset26,0.44,0.08,0.3,0.22,0.14,0.12,0.26,0.3
