,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.194,0.082,0.194,0.173,0.145,0.192,0.249,0.194
dataset2,0.163,0.063,0.204,0.109,0.1,0.136,0.191,0.188
dataset3,0.219,0.081,0.299,0.148,0.147,0.288,0.288,0.313
dataset4,0.179,0.088,0.214,0.134,0.092,0.201,0.182,0.188
dataset5,0.171,0.064,0.21,0.109,0.092,0.185,0.239,0.263
dataset6,0.194,0.098,0.256,0.108,0.169,0.216,0.29,0.265
dataset7,0.197,0.095,0.215,0.192,0.179,0.236,0.287,0.222
dataset8,0.425,0.1,0.429,0.324,0.209,0.336,0.396,0.353
dataset9,0.319,0.112,0.379,0.224,0.176,0.343,0.372,0.362
dataset10,0.143,0.044,0.165,0.163,0.127,0.158,0.174,0.163
dataset11,0.135,0.07,0.175,0.179,0.123,0.134,0.224,0.209
dataset12,0.224,0.072,0.173,0.224,0.161,0.204,0.254,0.257
dataset13,0.204,0.085,0.219,0.144,0.122,0.161,0.257,0.258
dataset14,0.315,0.084,0.27,0.291,0.241,0.226,0.313,0.278
dataset15,0.18,0.091,0.147,0.17,0.205,0.138,0.176,0.165
dataset16,0.414,0.106,0.34,0.346,0.269,0.254,0.358,0.445
dataset17,0.286,0.121,0.324,0.187,0.199,0.334,0.383,0.376
dataset18,0.254,0.092,0.364,0.157,0.159,0.266,0.285,0.28
dataset19,0.121,0.013,0.034,0.143,0.132,0.124,0.121,0.122
dataset20,0.238,0.084,0.257,0.144,0.155,0.252,0.262,0.272
dataset21,0.14,0.095,0.168,0.147,0.14,0.154,0.194,0.176
dataset22,0.16,0.09,0.179,0.143,0.127,0.155,0.19,0.194
dataset23,0.169,0.067,0.144,0.137,0.121,0.145,0.188,0.167
dataset24,0.168,0.07,0.184,0.101,0.11,0.145,0.166,0.149
dataset25,0.126,0.065,0.143,0.131,0.089,0.132,0.226,0.209
dataset26,0.283,0.11,0.31,0.175,0.163,0.258,0.265,0.239
