,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.26,0.06,0.3,0.19,0.17,0.18,0.2,0.24
dataset2,0.1,0.04,0.16,0.17,0.09,0.13,0.15,0.12
dataset3,0.39,0.05,0.17,0.18,0.15,0.24,0.23,0.22
dataset4,0.17,0.16,0.22,0.16,0.11,0.16,0.21,0.2
dataset5,0.22,0.11,0.24,0.12,0.16,0.2,0.24,0.23
dataset6,0.27,0.12,0.19,0.06,0.23,0.15,0.28,0.23
dataset7,0.22,0.14,0.23,0.18,0.23,0.21,0.39,0.24
dataset8,0.45,0.11,0.53,0.33,0.18,0.28,0.4,0.34
dataset9,0.43,0.07,0.25,0.18,0.18,0.28,0.36,0.3
dataset10,0.41,0.05,0.13,0.15,0.11,0.2,0.24,0.24
dataset11,0.2,0.08,0.18,0.12,0.14,0.1,0.18,0.3
dataset12,0.3,0.09,0.35,0.23,0.22,0.14,0.22,0.26
dataset13,0.27,0.08,0.28,0.14,0.07,0.11,0.24,0.25
dataset14,0.32,0.06,0.35,0.31,0.24,0.3,0.33,0.37
dataset15,0.52,0.07,0.26,0.11,0.19,0.24,0.37,0.27
dataset16,0.32,0.06,0.2,0.21,0.27,0.19,0.29,0.57
dataset17,0.59,0.13,0.29,0.14,0.21,0.24,0.36,0.41
dataset18,0.28,0.07,0.28,0.11,0.19,0.15,0.21,0.22
dataset19,0.11,0.02,0.1,0.09,0.02,0.14,0.13,0.14
dataset20,0.25,0.08,0.22,0.17,0.13,0.17,0.23,0.31
dataset21,0.05,0.07,0.16,0.16,0.14,0.14,0.13,0.14
dataset22,0.33,0.11,0.24,0.1,0.09,0.21,0.22,0.22
dataset23,0.21,0.06,0.19,0.13,0.14,0.14,0.23,0.15
dataset24,0.2,0.07,0.19,0.08,0.11,0.15,0.17,0.1
dataset25,0.24,0.06,0.17,0.12,0.08,0.13,0.22,0.21
dataset26,0.33,0.09,0.22,0.19,0.17,0.1,0.25,0.28
