Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.046394289001631166,0.11147388149510859,0.04337558564706983,0.05096864589056457,0.051537658835679366,0.04429062349922502,0.062074026176428675,0.06295359338770996
0.06493959467923249,0.20622233743867044,0.058522206425851805,0.0827295841904056,0.08886985371422347,0.060733910440147754,0.08194361839518342,0.08546403390602517
0.17517899761336517,0.008298764376662465,0.07458043389275482,0.015053257386477677,0.012637497924289535,0.07008289374529013,0.11707795849691531,0.10786786786786787
0.07577947553169523,0.7736939913276895,0.18810654552963038,0.4491017964071856,0.4557092711129465,0.19202973363617593,0.1724137931034483,0.18542225893041503
0.10579417699625253,0.016421390318085004,0.10681205299566188,0.029130114511484635,0.024592995397867197,0.10268867664108651,0.1394572025052192,0.13639125151883352
0.28,0.1,0.46,0.2,0.22,0.16,0.14,0.26
0.3,0.09,0.35,0.23,0.22,0.14,0.22,0.26
0.28,0.08,0.325,0.19,0.155,0.24,0.35,0.31
0.246,0.072,0.234,0.196,0.156,0.186,0.32,0.314
0.224,0.072,0.173,0.224,0.161,0.204,0.254,0.257
0.1785,0.071,0.103,0.181,0.186,0.179,0.217,0.222
