Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.03320092433175968,0.10728105766616236,0.03648073735208109,0.039129177548358124,0.032581241891923345,0.03585538618204482,0.0569100778707991,0.052242645883414526
0.06441117345700173,0.21462952337684946,0.06490372478161813,0.08763820146462645,0.07705320938185423,0.06676506621571351,0.10847505540042877,0.09921283754239638
0.1407103825136612,0.005764742236862003,0.056129638327853455,0.008462325264234571,0.007584305605639373,0.04194943160667755,0.07751846381093058,0.07141676310133907
0.05169817634264681,0.7334783336121801,0.23991969215325415,0.41525849088171324,0.43633930065250126,0.24510624058892422,0.21950811443868162,0.21683118621381964
0.07561482931604062,0.011439575608445038,0.09097541633624108,0.016586640470199848,0.014909459903671625,0.07163814180929094,0.11457514627543447,0.1074448681810645
0.24,0.08,0.22,0.04,0.1,0.1,0.24,0.2
0.24,0.06,0.17,0.12,0.08,0.13,0.22,0.21
0.21,0.075,0.17,0.145,0.075,0.125,0.225,0.195
0.164,0.072,0.208,0.112,0.086,0.114,0.226,0.204
0.126,0.065,0.143,0.131,0.089,0.132,0.226,0.209
0.1445,0.073,0.0875,0.1835,0.129,0.162,0.2425,0.2005
