Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.07248745045417075,0.11007235334673852,0.08140513860630805,0.09071729129300726,0.08206156506041949,0.05957175849138019,0.09215667819456605,0.0831246753013554
0.08841717411896952,0.17660899664265234,0.11053673983183336,0.12087300662354332,0.10898681222084296,0.08250580391311726,0.12035115378810556,0.11258109531644023
0.23641563393708293,0.009593961422582477,0.12742917915498406,0.018311447141530705,0.015527573974926741,0.0732193004850651,0.14794394670342292,0.13602471239880698
0.08632091890010442,0.7786286112077967,0.2293769578837452,0.48050817960320225,0.4906021580229725,0.24956491472328576,0.22415593456317437,0.22224155934563175
0.12646608873023968,0.018954374355248355,0.16383864752315247,0.03527848408571099,0.03010240584321975,0.11322095456160436,0.17824522557431496,0.1687590855028413
0.5,0.04,0.38,0.32,0.2,0.32,0.36,0.42
0.32,0.06,0.35,0.31,0.24,0.3,0.33,0.37
0.315,0.07,0.345,0.285,0.225,0.3,0.39,0.335
0.318,0.088,0.234,0.32,0.238,0.304,0.35,0.334
0.315,0.084,0.27,0.291,0.241,0.226,0.313,0.278
0.236,0.0815,0.2675,0.3085,0.239,0.2005,0.3125,0.265
