Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.028959758749734506,0.11896518654378752,0.04121851683912823,0.02491948500021342,0.031713916703600825,0.030689501671533767,0.04571343341110996,0.043473599852113166
0.04805335303794964,0.2288302565365107,0.06695641992067553,0.05268781458456195,0.07371086827181264,0.04966952925923176,0.07097507616694985,0.0687800005746169
0.13351406302948154,0.005523039396672255,0.07443437246665192,0.008397866115986922,0.007353929177122562,0.05208827092220993,0.09780720798957881,0.09320329780816408
0.07462121212121212,0.6912878787878788,0.19128787878787878,0.3696969696969697,0.3835227272727273,0.18731060606060607,0.1706439393939394,0.17556818181818182
0.0957356335803669,0.01095852573302029,0.10716748899145843,0.016422682147063772,0.014431145619167411,0.08150986936992623,0.12434446591222743,0.12176540128727177
0.1,0.08,0.18,0.22,0.06,0.18,0.2,0.18
0.1,0.1,0.15,0.18,0.09,0.15,0.15,0.16
0.105,0.075,0.165,0.125,0.1,0.125,0.16,0.145
0.128,0.062,0.192,0.11,0.112,0.116,0.226,0.232
0.163,0.068,0.135,0.151,0.111,0.115,0.18,0.177
0.143,0.073,0.14,0.1235,0.126,0.149,0.1715,0.161
