Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.0717186269282814,0.20517554952230432,0.14791862768396902,0.14647466163725595,0.09747605075344298,0.10401650647004068,0.10426026295410148,0.11539566066886561
0.14083284423671846,0.3370896366579535,0.2712797293179128,0.3235449879595441,0.22955289668571052,0.19416808921150785,0.1805556540739951,0.2024365127764635
0.16052631578947368,0.0215702860658259,0.06450907500546688,0.030846386369881837,0.047335203366058905,0.07223752678298133,0.07253232418795333,0.07239534151715454
0.09902597402597403,0.9107142857142857,0.4788961038961039,0.7288961038961039,0.4383116883116883,0.38311688311688313,0.37337662337662336,0.37337662337662336
0.12248995983935743,0.042142427884615384,0.11370206205434573,0.059187977853941476,0.08544303797468354,0.12155549832603657,0.12146818061790336,0.12127603480094912
0.26,0.16,0.04,0.0,0.16,0.24,0.26,0.32
0.29,0.09,0.1,0.04,0.13,0.33,0.29,0.35
0.2,0.14,0.1,0.09,0.13,0.255,0.295,0.33
0.138,0.112,0.142,0.058,0.126,0.218,0.218,0.216
0.099,0.098,0.134,0.063,0.1,0.15,0.154,0.148
0.0785,0.0905,0.109,0.0775,0.0765,0.097,0.0995,0.099
