,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.694,0.428,0.578,0.486,0.592,0.684,0.594,0.672
dataset2,0.656,0.236,0.412,0.272,0.4,0.514,0.574,0.456
dataset3,0.404,0.134,0.326,0.158,0.262,0.396,0.406,0.432
dataset4,0.414,0.146,0.286,0.092,0.282,0.452,0.436,0.476
dataset5,0.414,0.072,0.286,0.184,0.326,0.452,0.46,0.47
dataset6,0.468,0.078,0.306,0.078,0.224,0.47,0.494,0.522
dataset7,0.492,0.126,0.37,0.116,0.266,0.542,0.53,0.53
dataset8,0.414,0.16,0.248,0.136,0.208,0.442,0.424,0.424
dataset9,0.408,0.128,0.23,0.096,0.172,0.476,0.484,0.48
dataset10,0.38,0.046,0.242,0.086,0.164,0.454,0.434,0.454
dataset11,0.374,0.108,0.204,0.122,0.216,0.38,0.426,0.408
dataset12,0.316,0.108,0.24,0.086,0.146,0.376,0.382,0.4
dataset13,0.624,0.182,0.458,0.226,0.256,0.512,0.578,0.456
dataset14,0.408,0.056,0.288,0.146,0.184,0.448,0.464,0.47
dataset15,0.356,0.03,0.222,0.114,0.154,0.38,0.402,0.37
dataset16,0.302,0.096,0.262,0.096,0.168,0.382,0.396,0.376
dataset17,0.32,0.064,0.26,0.104,0.202,0.386,0.386,0.408
dataset18,0.356,0.098,0.214,0.104,0.132,0.43,0.416,0.392
dataset19,0.294,0.092,0.204,0.08,0.15,0.374,0.372,0.376
dataset20,0.31,0.058,0.226,0.096,0.164,0.366,0.396,0.392
dataset21,0.238,0.09,0.198,0.122,0.142,0.336,0.316,0.348
dataset22,0.302,0.094,0.25,0.092,0.16,0.386,0.386,0.398
dataset23,0.276,0.034,0.244,0.072,0.148,0.34,0.376,0.38
dataset24,0.576,0.256,0.384,0.144,0.238,0.496,0.446,0.392
dataset25,0.194,0.068,0.102,0.064,0.162,0.302,0.272,0.272
dataset26,0.172,0.05,0.08,0.07,0.158,0.238,0.266,0.248
dataset27,0.19,0.156,0.252,0.054,0.152,0.322,0.324,0.318
dataset28,0.312,0.102,0.184,0.092,0.208,0.38,0.38,0.398
dataset29,0.216,0.064,0.2,0.108,0.166,0.306,0.322,0.302
dataset30,0.024,0.028,0.028,0.028,0.028,0.028,0.026,0.026
dataset31,0.67,0.27,0.336,0.186,0.362,0.582,0.548,0.528
dataset32,0.626,0.2,0.43,0.112,0.23,0.496,0.488,0.512
dataset33,0.59,0.072,0.42,0.202,0.214,0.554,0.584,0.518
dataset34,0.608,0.104,0.284,0.176,0.276,0.506,0.522,0.574
dataset35,0.498,0.14,0.378,0.288,0.276,0.476,0.442,0.466
dataset36,0.488,0.152,0.322,0.112,0.158,0.448,0.444,0.476
