Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.1032039100043029,0.23991596848770982,0.16511011663901706,0.15452329730209863,0.12609070815677834,0.13338325445215476,0.1422361634550615,0.14407814675232775
0.2160216740239179,0.44162244386603955,0.3333684195896229,0.40687122530110853,0.302099367488232,0.29060470989568005,0.2875647814595521,0.29467084508372193
0.19856303069888961,0.03843402367922166,0.090321072319202,0.05201967082634526,0.07262536162005787,0.09158669523898258,0.09500867219117363,0.09506327891025022
0.12530915086562242,0.8858202802967848,0.4777411376751855,0.754328112118714,0.49670239076669415,0.4051937345424567,0.40643033800494643,0.40560593569661996
0.1536517563810968,0.07367158039081248,0.15192030410276577,0.09732748304746708,0.12672205279209173,0.14940345011019074,0.15401437050921588,0.15402676684667763
0.48,0.04,0.16,0.06,0.12,0.44,0.38,0.52
0.46,0.18,0.24,0.09,0.11,0.41,0.38,0.53
0.45,0.21,0.155,0.105,0.14,0.44,0.385,0.475
0.316,0.108,0.24,0.086,0.146,0.376,0.382,0.4
0.241,0.102,0.227,0.091,0.154,0.304,0.32,0.325
0.168,0.09,0.2165,0.0925,0.156,0.224,0.2355,0.2305
