,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.68,0.06,0.88,0.5,0.58,0.6,0.62,0.8
dataset2,0.62,0.08,0.36,0.4,0.58,0.74,0.86,0.92
dataset3,0.5,0.0,0.26,0.44,0.38,0.48,0.48,0.44
dataset4,0.6,0.04,0.38,0.08,0.14,0.24,0.5,0.36
dataset5,0.6,0.12,0.34,0.26,0.18,0.48,0.5,0.48
dataset6,0.76,0.04,0.2,0.2,0.14,0.54,0.54,0.58
dataset7,0.54,0.2,0.28,0.16,0.08,0.48,0.6,0.58
dataset8,0.5,0.16,0.32,0.18,0.1,0.48,0.46,0.48
dataset9,0.52,0.2,0.32,0.0,0.34,0.62,0.5,0.54
dataset10,0.5,0.06,0.12,0.08,0.24,0.52,0.36,0.38
dataset11,0.5,0.1,0.2,0.34,0.14,0.3,0.46,0.52
dataset12,0.48,0.04,0.16,0.06,0.12,0.44,0.38,0.52
dataset13,0.78,0.18,0.26,0.2,0.08,0.1,0.56,0.64
dataset14,0.62,0.0,0.4,0.0,0.22,0.42,0.28,0.46
dataset15,0.48,0.02,0.22,0.04,0.12,0.52,0.56,0.28
dataset16,0.32,0.06,0.38,0.0,0.24,0.42,0.48,0.46
dataset17,0.36,0.02,0.08,0.18,0.28,0.46,0.66,0.46
dataset18,0.56,0.0,0.16,0.18,0.2,0.38,0.42,0.44
dataset19,0.54,0.02,0.14,0.12,0.1,0.36,0.2,0.42
dataset20,0.44,0.08,0.06,0.02,0.12,0.5,0.42,0.36
dataset21,0.46,0.06,0.38,0.14,0.04,0.44,0.4,0.3
dataset22,0.56,0.02,0.24,0.08,0.1,0.44,0.36,0.48
dataset23,0.52,0.0,0.16,0.02,0.18,0.32,0.52,0.52
dataset24,0.54,0.14,0.34,0.14,0.06,0.2,0.3,0.42
dataset25,0.44,0.16,0.28,0.0,0.12,0.34,0.4,0.34
dataset26,0.34,0.1,0.06,0.0,0.06,0.28,0.3,0.36
dataset27,0.28,0.12,0.42,0.04,0.12,0.42,0.34,0.38
dataset28,0.5,0.18,0.04,0.04,0.34,0.62,0.46,0.36
dataset29,0.4,0.0,0.32,0.22,0.1,0.34,0.42,0.3
dataset30,0.14,0.2,0.2,0.2,0.18,0.18,0.18,0.18
dataset31,0.7,0.06,0.4,0.06,0.54,0.64,0.36,0.46
dataset32,0.68,0.22,0.68,0.0,0.0,0.26,0.46,0.48
dataset33,0.68,0.0,0.54,0.24,0.04,0.56,0.66,0.6
dataset34,0.66,0.0,0.04,0.08,0.04,0.4,0.54,0.64
dataset35,0.62,0.08,0.3,0.22,0.1,0.58,0.4,0.5
dataset36,0.62,0.0,0.16,0.32,0.04,0.38,0.5,0.28
