,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.642,0.38,0.537,0.547,0.562,0.635,0.651,0.648
dataset2,0.647,0.284,0.466,0.284,0.41,0.559,0.52,0.488
dataset3,0.296,0.147,0.319,0.13,0.23,0.325,0.336,0.355
dataset4,0.295,0.109,0.318,0.086,0.237,0.372,0.372,0.385
dataset5,0.302,0.105,0.271,0.128,0.254,0.372,0.374,0.388
dataset6,0.307,0.123,0.295,0.063,0.221,0.384,0.394,0.408
dataset7,0.346,0.145,0.381,0.145,0.27,0.461,0.448,0.461
dataset8,0.28,0.136,0.202,0.109,0.181,0.356,0.359,0.365
dataset9,0.289,0.114,0.247,0.098,0.201,0.399,0.393,0.383
dataset10,0.285,0.076,0.249,0.093,0.144,0.341,0.337,0.349
dataset11,0.27,0.123,0.234,0.126,0.195,0.319,0.327,0.327
dataset12,0.241,0.102,0.227,0.091,0.154,0.304,0.32,0.325
dataset13,0.586,0.263,0.465,0.246,0.255,0.529,0.51,0.484
dataset14,0.291,0.064,0.28,0.106,0.235,0.377,0.374,0.384
dataset15,0.248,0.036,0.209,0.092,0.122,0.327,0.318,0.303
dataset16,0.241,0.075,0.237,0.096,0.179,0.297,0.306,0.312
dataset17,0.246,0.072,0.236,0.091,0.22,0.329,0.343,0.341
dataset18,0.243,0.097,0.21,0.122,0.156,0.318,0.33,0.322
dataset19,0.221,0.101,0.215,0.115,0.155,0.308,0.313,0.301
dataset20,0.224,0.078,0.208,0.106,0.177,0.314,0.32,0.313
dataset21,0.181,0.079,0.157,0.077,0.156,0.281,0.284,0.283
dataset22,0.23,0.097,0.213,0.106,0.201,0.336,0.325,0.319
dataset23,0.211,0.043,0.212,0.073,0.158,0.296,0.297,0.293
dataset24,0.477,0.198,0.371,0.144,0.267,0.426,0.438,0.433
dataset25,0.158,0.07,0.138,0.076,0.145,0.245,0.235,0.23
dataset26,0.136,0.054,0.105,0.058,0.132,0.195,0.203,0.204
dataset27,0.168,0.144,0.223,0.061,0.151,0.251,0.247,0.275
dataset28,0.223,0.081,0.214,0.116,0.194,0.297,0.296,0.304
dataset29,0.172,0.125,0.172,0.107,0.155,0.25,0.251,0.25
dataset30,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
dataset31,0.502,0.26,0.386,0.166,0.337,0.53,0.56,0.546
dataset32,0.478,0.155,0.389,0.165,0.236,0.486,0.495,0.501
dataset33,0.462,0.103,0.413,0.236,0.249,0.515,0.53,0.515
dataset34,0.444,0.137,0.342,0.147,0.269,0.507,0.511,0.493
dataset35,0.361,0.183,0.333,0.218,0.246,0.45,0.436,0.422
dataset36,0.346,0.118,0.265,0.112,0.204,0.385,0.37,0.4
