,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.72,0.36,0.69,0.48,0.61,0.63,0.62,0.73
dataset2,0.68,0.04,0.48,0.26,0.41,0.55,0.74,0.73
dataset3,0.52,0.01,0.23,0.38,0.27,0.49,0.52,0.45
dataset4,0.52,0.04,0.24,0.04,0.11,0.32,0.46,0.42
dataset5,0.69,0.08,0.27,0.22,0.17,0.55,0.46,0.63
dataset6,0.63,0.02,0.36,0.14,0.24,0.56,0.55,0.58
dataset7,0.58,0.13,0.26,0.09,0.19,0.51,0.6,0.61
dataset8,0.49,0.14,0.2,0.12,0.15,0.47,0.46,0.46
dataset9,0.48,0.16,0.24,0.04,0.23,0.55,0.44,0.5
dataset10,0.54,0.04,0.27,0.1,0.15,0.43,0.4,0.4
dataset11,0.58,0.07,0.25,0.34,0.2,0.35,0.53,0.49
dataset12,0.46,0.18,0.24,0.09,0.11,0.41,0.38,0.53
dataset13,0.68,0.1,0.38,0.21,0.16,0.39,0.57,0.51
dataset14,0.59,0.0,0.39,0.13,0.21,0.36,0.42,0.45
dataset15,0.53,0.04,0.21,0.08,0.19,0.48,0.49,0.37
dataset16,0.47,0.16,0.36,0.01,0.15,0.44,0.41,0.46
dataset17,0.42,0.03,0.22,0.1,0.2,0.44,0.56,0.46
dataset18,0.51,0.0,0.15,0.21,0.16,0.36,0.48,0.5
dataset19,0.51,0.03,0.17,0.12,0.09,0.36,0.31,0.48
dataset20,0.45,0.08,0.11,0.04,0.16,0.38,0.46,0.38
dataset21,0.42,0.06,0.29,0.18,0.06,0.43,0.41,0.38
dataset22,0.53,0.05,0.26,0.12,0.1,0.49,0.43,0.45
dataset23,0.49,0.0,0.23,0.05,0.15,0.33,0.4,0.43
dataset24,0.57,0.19,0.36,0.24,0.06,0.43,0.43,0.44
dataset25,0.36,0.08,0.19,0.0,0.07,0.31,0.32,0.33
dataset26,0.33,0.12,0.09,0.03,0.1,0.3,0.26,0.3
dataset27,0.23,0.27,0.35,0.03,0.16,0.36,0.34,0.33
dataset28,0.49,0.22,0.1,0.08,0.32,0.46,0.44,0.42
dataset29,0.37,0.0,0.34,0.19,0.14,0.31,0.36,0.31
dataset30,0.07,0.14,0.11,0.13,0.12,0.09,0.11,0.12
dataset31,0.73,0.1,0.32,0.12,0.57,0.57,0.43,0.45
dataset32,0.69,0.12,0.46,0.08,0.08,0.38,0.49,0.44
dataset33,0.7,0.02,0.59,0.22,0.14,0.53,0.6,0.61
dataset34,0.66,0.05,0.11,0.08,0.07,0.46,0.5,0.67
dataset35,0.57,0.05,0.37,0.15,0.17,0.54,0.45,0.4
dataset36,0.58,0.06,0.18,0.23,0.06,0.39,0.56,0.44
