,prev_TX_DATETIME,prev_CUSTOMER_ID,prev_X_TERMINAL,prev_Y_TERMINAL,prev_TX_AMOUNT,prev_TX_FRAUD,next_TX_DATETIME,next_CUSTOMER_ID,next_X_TERMINAL,next_Y_TERMINAL,next_TX_AMOUNT,next_TX_FRAUD
0,2018-04-03 12:30:47,2,4.15,37.03,8.39,True,2018-04-03 16:18:18,2,-1.31,-27.72,16.31,True
1,2018-04-03 12:30:47,2,4.15,37.03,8.39,True,2018-04-04 17:00:53,2,-45.1,-7.25,16.69,True
2,2018-04-03 12:30:47,2,4.15,37.03,8.39,True,2018-04-06 11:52:53,2,-7.85,-9.56,30.27,True
3,2018-04-03 16:18:18,2,-1.31,-27.72,16.31,True,2018-04-04 17:00:53,2,-45.1,-7.25,16.69,True
4,2018-04-03 16:18:18,2,-1.31,-27.72,16.31,True,2018-04-06 11:52:53,2,-7.85,-9.56,30.27,True
5,2018-04-04 17:00:53,2,-45.1,-7.25,16.69,True,2018-04-06 11:52:53,2,-7.85,-9.56,30.27,True
6,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-02 17:42:37,3,23.26,18.63,0.31,True
7,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True
8,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-03 23:56:46,3,27.54,18.85,3.68,True
9,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-04 18:01:10,3,42.24,-19.19,4.61,True
10,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-05 00:00:00,3,7.58,26.25,23.55,True
11,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-05 00:00:00,3,-0.7,-12.32,8.61,True
12,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-05 14:35:51,3,35.15,30.03,36.78,True
13,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-05 15:01:13,3,-9.8,-46.37,49.87,True
14,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-05 17:00:22,3,-10.29,-40.46,48.02,True
15,2018-04-02 10:13:38,3,-29.6,1.63,7.34,True,2018-04-06 23:54:28,3,-3.04,-26.14,49.49,True
16,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True
17,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-03 23:56:46,3,27.54,18.85,3.68,True
18,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-04 18:01:10,3,42.24,-19.19,4.61,True
19,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-05 00:00:00,3,7.58,26.25,23.55,True
20,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-05 00:00:00,3,-0.7,-12.32,8.61,True
21,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-05 14:35:51,3,35.15,30.03,36.78,True
22,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-05 15:01:13,3,-9.8,-46.37,49.87,True
23,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-05 17:00:22,3,-10.29,-40.46,48.02,True
24,2018-04-02 17:42:37,3,23.26,18.63,0.31,True,2018-04-06 23:54:28,3,-3.04,-26.14,49.49,True
25,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True,2018-04-03 23:56:46,3,27.54,18.85,3.68,True
26,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True,2018-04-04 18:01:10,3,42.24,-19.19,4.61,True
27,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True,2018-04-05 00:00:00,3,7.58,26.25,23.55,True
28,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True,2018-04-05 00:00:00,3,-0.7,-12.32,8.61,True
29,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True,2018-04-05 14:35:51,3,35.15,30.03,36.78,True
30,2018-04-03 20:59:07,3,0.17,-12.83,4.48,True,2018-04-05 15:01:13,3,-9.8,-46.37,49.87,True
