Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.10597806512647279,0.2571823965148779,0.1827555146119327,0.17767479445446913,0.13213266374029653,0.153321866170889,0.15578043889016266,0.15859480953269856
0.2477502391003042,0.4686108864565731,0.41210884503907763,0.46199411942887747,0.3588799154409757,0.3425026935666018,0.3466689218062305,0.35738074121021596
0.17723880597014927,0.03414284927584118,0.09463606235424082,0.05229879423585923,0.07521785659685064,0.10299031072502506,0.10562122629475296,0.10380005100739607
0.10524372230428361,0.9158050221565731,0.569423929098966,0.7880354505169868,0.5450516986706057,0.4553175775480059,0.4586410635155096,0.45088626292466766
0.13206672845227063,0.06583138670630706,0.16229870539943164,0.09808788380216951,0.13219291567775737,0.16798365122615805,0.1717011128775835,0.16875129569483796
0.56,0.18,0.18,0.06,0.34,0.42,0.38,0.34
0.48,0.27,0.2,0.08,0.2,0.47,0.44,0.51
0.425,0.225,0.17,0.21,0.14,0.44,0.485,0.515
0.308,0.132,0.218,0.168,0.16,0.384,0.374,0.402
0.228,0.081,0.183,0.137,0.149,0.321,0.333,0.323
0.163,0.09,0.2085,0.1155,0.1615,0.267,0.2645,0.255
