,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.56,0.02,0.12,0.1,0.28,0.38,0.34,0.44
dataset2,0.38,0.0,0.14,0.1,0.1,0.46,0.44,0.44
dataset3,0.54,0.0,0.04,0.3,0.36,0.22,0.34,0.52
dataset4,0.44,0.28,0.3,0.14,0.04,0.3,0.36,0.52
dataset5,0.6,0.0,0.2,0.1,0.26,0.24,0.66,0.4
dataset6,0.54,0.02,0.3,0.38,0.26,0.32,0.42,0.26
dataset7,0.52,0.18,0.06,0.02,0.22,0.34,0.4,0.2
dataset8,0.64,0.38,0.04,0.14,0.32,0.74,0.68,0.5
dataset9,0.66,0.0,0.22,0.06,0.24,0.42,0.3,0.36
dataset10,0.4,0.34,0.3,0.02,0.1,0.34,0.46,0.36
dataset11,0.26,0.52,0.24,0.2,0.18,0.36,0.3,0.36
dataset12,0.4,0.0,0.08,0.08,0.1,0.32,0.42,0.44
dataset13,0.56,0.18,0.18,0.06,0.34,0.42,0.38,0.34
dataset14,0.62,0.0,0.2,0.1,0.2,0.26,0.4,0.64
dataset15,0.46,0.2,0.12,0.06,0.12,0.58,0.52,0.48
dataset16,0.4,0.0,0.12,0.1,0.1,0.36,0.52,0.48
dataset17,0.38,0.28,0.1,0.04,0.08,0.3,0.44,0.36
dataset18,0.6,0.2,0.2,0.08,0.22,0.16,0.5,0.44
dataset19,0.5,0.36,0.02,0.0,0.28,0.36,0.42,0.36
dataset20,0.64,0.02,0.32,0.2,0.32,0.4,0.46,0.44
dataset21,0.38,0.0,0.26,0.14,0.04,0.3,0.32,0.32
dataset22,0.48,0.24,0.2,0.18,0.02,0.4,0.34,0.52
dataset23,0.4,0.0,0.2,0.0,0.08,0.38,0.48,0.38
dataset24,0.42,0.14,0.34,0.02,0.06,0.28,0.42,0.46
dataset25,0.56,0.18,0.2,0.0,0.12,0.38,0.66,0.48
dataset26,0.68,0.12,0.34,0.22,0.24,0.38,0.26,0.56
dataset27,0.3,0.0,0.1,0.0,0.2,0.38,0.38,0.3
dataset28,0.6,0.04,0.38,0.12,0.06,0.62,0.32,0.22
dataset29,0.44,0.06,0.04,0.14,0.14,0.3,0.34,0.3
dataset30,0.46,0.4,0.16,0.08,0.1,0.42,0.32,0.48
dataset31,0.54,0.06,0.16,0.3,0.18,0.34,0.2,0.42
dataset32,0.46,0.0,0.04,0.04,0.12,0.36,0.32,0.44
dataset33,0.12,0.22,0.18,0.2,0.18,0.18,0.18,0.18
dataset34,0.54,0.08,0.18,0.1,0.32,0.72,0.6,0.36
dataset35,0.66,0.08,0.12,0.12,0.22,0.42,0.42,0.42
dataset36,0.52,0.08,0.0,0.02,0.18,0.34,0.66,0.2
