,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1695,0.0935,0.2025,0.1095,0.1735,0.238,0.242,0.232
dataset2,0.169,0.0705,0.18,0.0945,0.155,0.235,0.2275,0.238
dataset3,0.1875,0.0965,0.2165,0.094,0.1785,0.278,0.2845,0.2825
dataset4,0.2245,0.1145,0.244,0.132,0.2085,0.3155,0.317,0.3035
dataset5,0.208,0.1085,0.249,0.095,0.1975,0.275,0.28,0.2805
dataset6,0.237,0.1595,0.285,0.1735,0.2265,0.315,0.319,0.322
dataset7,0.1655,0.0925,0.173,0.102,0.146,0.2335,0.235,0.2315
dataset8,0.262,0.166,0.3605,0.225,0.2725,0.3615,0.3555,0.3515
dataset9,0.268,0.1025,0.321,0.205,0.2405,0.354,0.3535,0.352
dataset10,0.136,0.1,0.191,0.0905,0.1305,0.217,0.222,0.2205
dataset11,0.1775,0.143,0.229,0.1015,0.169,0.2595,0.267,0.2615
dataset12,0.1495,0.0815,0.1895,0.096,0.1345,0.2265,0.2255,0.2145
dataset13,0.163,0.09,0.2085,0.1155,0.1615,0.267,0.2645,0.255
dataset14,0.234,0.154,0.262,0.15,0.1945,0.2835,0.2785,0.2875
dataset15,0.205,0.1275,0.228,0.1075,0.186,0.2885,0.2765,0.2795
dataset16,0.1475,0.0895,0.1815,0.078,0.1435,0.217,0.2075,0.219
dataset17,0.142,0.1115,0.172,0.085,0.1355,0.2075,0.2105,0.207
dataset18,0.2645,0.149,0.2725,0.146,0.234,0.3235,0.3295,0.322
dataset19,0.192,0.0995,0.1935,0.098,0.1685,0.264,0.263,0.263
dataset20,0.3385,0.1965,0.375,0.223,0.3005,0.403,0.411,0.406
dataset21,0.087,0.0565,0.122,0.0545,0.0855,0.1345,0.1385,0.136
dataset22,0.172,0.115,0.181,0.092,0.1595,0.2385,0.241,0.246
dataset23,0.1555,0.1125,0.163,0.093,0.136,0.2215,0.2205,0.2265
dataset24,0.1735,0.0975,0.1975,0.098,0.1595,0.241,0.239,0.2425
dataset25,0.19,0.1125,0.2345,0.125,0.1735,0.261,0.261,0.2645
dataset26,0.32,0.1945,0.346,0.1505,0.278,0.365,0.38,0.3685
dataset27,0.1175,0.0905,0.1695,0.072,0.114,0.207,0.1995,0.2165
dataset28,0.2395,0.124,0.278,0.1285,0.1905,0.3355,0.3325,0.3255
dataset29,0.104,0.063,0.141,0.0715,0.097,0.165,0.1615,0.17
dataset30,0.1315,0.089,0.168,0.077,0.128,0.1995,0.2045,0.209
dataset31,0.19,0.093,0.2245,0.1105,0.1745,0.2595,0.253,0.2615
dataset32,0.1275,0.07,0.155,0.091,0.124,0.205,0.202,0.213
dataset33,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
dataset34,0.24,0.135,0.2815,0.1095,0.2105,0.3375,0.3355,0.344
dataset35,0.157,0.084,0.1945,0.102,0.1385,0.2325,0.229,0.234
dataset36,0.182,0.0935,0.2025,0.081,0.1595,0.268,0.272,0.272
