,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.306,0.102,0.202,0.062,0.186,0.36,0.356,0.38
dataset2,0.29,0.036,0.146,0.108,0.144,0.37,0.362,0.36
dataset3,0.342,0.102,0.19,0.164,0.17,0.402,0.358,0.406
dataset4,0.4,0.112,0.194,0.106,0.218,0.394,0.414,0.424
dataset5,0.368,0.03,0.274,0.066,0.186,0.456,0.466,0.47
dataset6,0.398,0.104,0.23,0.184,0.258,0.412,0.406,0.4
dataset7,0.268,0.156,0.148,0.096,0.144,0.36,0.336,0.328
dataset8,0.35,0.198,0.272,0.18,0.316,0.526,0.508,0.504
dataset9,0.46,0.116,0.266,0.214,0.248,0.47,0.51,0.51
dataset10,0.256,0.132,0.182,0.12,0.156,0.364,0.34,0.358
dataset11,0.298,0.156,0.224,0.088,0.242,0.398,0.414,0.406
dataset12,0.276,0.118,0.172,0.088,0.114,0.31,0.33,0.336
dataset13,0.308,0.132,0.218,0.168,0.16,0.384,0.374,0.402
dataset14,0.432,0.148,0.254,0.174,0.162,0.364,0.38,0.384
dataset15,0.344,0.164,0.2,0.174,0.194,0.404,0.41,0.406
dataset16,0.272,0.038,0.196,0.106,0.184,0.342,0.344,0.348
dataset17,0.24,0.114,0.172,0.128,0.156,0.326,0.342,0.33
dataset18,0.466,0.204,0.224,0.094,0.242,0.432,0.464,0.42
dataset19,0.35,0.118,0.164,0.06,0.132,0.382,0.372,0.408
dataset20,0.544,0.156,0.362,0.322,0.326,0.456,0.5,0.48
dataset21,0.162,0.058,0.144,0.05,0.104,0.224,0.208,0.194
dataset22,0.28,0.15,0.18,0.074,0.146,0.384,0.344,0.366
dataset23,0.27,0.058,0.16,0.108,0.124,0.378,0.34,0.37
dataset24,0.302,0.062,0.286,0.062,0.152,0.372,0.322,0.364
dataset25,0.338,0.098,0.242,0.098,0.17,0.378,0.4,0.378
dataset26,0.572,0.154,0.286,0.112,0.308,0.498,0.436,0.428
dataset27,0.184,0.074,0.16,0.092,0.166,0.294,0.284,0.32
dataset28,0.424,0.116,0.256,0.092,0.156,0.482,0.442,0.474
dataset29,0.2,0.08,0.13,0.096,0.132,0.246,0.262,0.268
dataset30,0.24,0.108,0.184,0.074,0.106,0.316,0.298,0.326
dataset31,0.348,0.076,0.204,0.172,0.18,0.352,0.38,0.368
dataset32,0.244,0.112,0.096,0.086,0.176,0.31,0.312,0.31
dataset33,0.022,0.028,0.026,0.028,0.026,0.02,0.026,0.026
dataset34,0.442,0.076,0.274,0.148,0.228,0.48,0.478,0.424
dataset35,0.282,0.076,0.162,0.074,0.16,0.37,0.344,0.344
dataset36,0.352,0.062,0.144,0.108,0.122,0.422,0.424,0.404
