,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.231,0.103,0.207,0.095,0.167,0.297,0.305,0.308
dataset2,0.22,0.046,0.179,0.105,0.168,0.303,0.291,0.307
dataset3,0.255,0.118,0.216,0.118,0.188,0.352,0.357,0.345
dataset4,0.291,0.141,0.241,0.108,0.2,0.37,0.371,0.368
dataset5,0.286,0.093,0.264,0.074,0.221,0.374,0.379,0.384
dataset6,0.309,0.134,0.285,0.183,0.244,0.397,0.37,0.378
dataset7,0.225,0.122,0.162,0.099,0.153,0.309,0.307,0.297
dataset8,0.288,0.223,0.31,0.231,0.301,0.445,0.44,0.447
dataset9,0.351,0.104,0.324,0.227,0.261,0.422,0.421,0.418
dataset10,0.187,0.095,0.194,0.106,0.155,0.296,0.294,0.289
dataset11,0.227,0.131,0.231,0.083,0.172,0.328,0.347,0.327
dataset12,0.2,0.089,0.182,0.088,0.126,0.286,0.283,0.275
dataset13,0.228,0.081,0.183,0.137,0.149,0.321,0.333,0.323
dataset14,0.322,0.142,0.259,0.139,0.185,0.373,0.367,0.348
dataset15,0.276,0.116,0.2,0.125,0.172,0.376,0.357,0.359
dataset16,0.195,0.05,0.172,0.087,0.175,0.288,0.279,0.297
dataset17,0.199,0.062,0.178,0.082,0.17,0.286,0.274,0.263
dataset18,0.348,0.134,0.269,0.121,0.242,0.388,0.387,0.395
dataset19,0.288,0.113,0.159,0.08,0.162,0.333,0.337,0.358
dataset20,0.458,0.137,0.376,0.278,0.329,0.474,0.484,0.47
dataset21,0.12,0.029,0.122,0.07,0.104,0.168,0.168,0.156
dataset22,0.224,0.136,0.189,0.075,0.172,0.318,0.319,0.33
dataset23,0.196,0.061,0.18,0.104,0.134,0.306,0.296,0.308
dataset24,0.226,0.114,0.233,0.073,0.171,0.3,0.285,0.313
dataset25,0.243,0.111,0.235,0.102,0.157,0.323,0.338,0.351
dataset26,0.447,0.174,0.35,0.175,0.305,0.448,0.466,0.463
dataset27,0.161,0.072,0.162,0.077,0.163,0.253,0.251,0.273
dataset28,0.303,0.107,0.215,0.118,0.169,0.435,0.42,0.412
dataset29,0.144,0.063,0.129,0.081,0.118,0.227,0.212,0.232
dataset30,0.19,0.083,0.18,0.07,0.107,0.256,0.263,0.269
dataset31,0.268,0.059,0.228,0.129,0.154,0.329,0.32,0.333
dataset32,0.172,0.085,0.151,0.084,0.167,0.265,0.269,0.262
dataset33,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
dataset34,0.332,0.127,0.284,0.116,0.206,0.414,0.436,0.427
dataset35,0.203,0.094,0.18,0.054,0.168,0.279,0.303,0.289
dataset36,0.242,0.065,0.207,0.084,0.125,0.347,0.359,0.355
