Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.15186772467314025,0.3183256650608318,0.2552575494107096,0.25960096340680494,0.20020808042335647,0.20846067354219705,0.2127191242048599,0.21069338159509887
0.3294272773475415,0.5113268616686631,0.4363481399815497,0.4949994692202533,0.4366680545428519,0.37784748309495714,0.4129841202705813,0.39592323584083744
0.22418879056047197,0.05035024410953089,0.11517405951712521,0.07892313924796523,0.09520377044635431,0.12117552334943639,0.12264995523724262,0.12367260251592876
0.1758580794446587,0.9147705360586194,0.6328576937909757,0.8264558426532973,0.6621673736984188,0.5804087929039722,0.5811801002699576,0.5838796760509063
0.1971039550464664,0.09544695491217833,0.19488153910100348,0.14408659987897532,0.1664727554779911,0.20049290614800505,0.2025537634408602,0.20411189753960227
0.44,0.28,0.3,0.14,0.04,0.3,0.36,0.52
0.52,0.16,0.36,0.14,0.1,0.26,0.39,0.4
0.48,0.11,0.29,0.08,0.115,0.37,0.395,0.405
0.4,0.112,0.194,0.106,0.218,0.394,0.414,0.424
0.291,0.141,0.241,0.108,0.2,0.37,0.371,0.368
0.2245,0.1145,0.244,0.132,0.2085,0.3155,0.317,0.3035
