,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.45,0.03,0.19,0.13,0.21,0.41,0.35,0.34
dataset2,0.45,0.06,0.08,0.09,0.09,0.46,0.42,0.42
dataset3,0.47,0.01,0.06,0.25,0.26,0.31,0.36,0.44
dataset4,0.52,0.16,0.36,0.14,0.1,0.26,0.39,0.4
dataset5,0.55,0.0,0.23,0.09,0.24,0.3,0.61,0.43
dataset6,0.58,0.13,0.29,0.27,0.26,0.33,0.42,0.29
dataset7,0.44,0.19,0.08,0.07,0.18,0.35,0.39,0.29
dataset8,0.59,0.28,0.16,0.16,0.26,0.62,0.59,0.53
dataset9,0.64,0.01,0.14,0.1,0.24,0.48,0.34,0.43
dataset10,0.36,0.23,0.24,0.08,0.13,0.47,0.37,0.35
dataset11,0.36,0.31,0.21,0.12,0.2,0.43,0.34,0.44
dataset12,0.42,0.04,0.07,0.05,0.08,0.28,0.35,0.42
dataset13,0.48,0.27,0.2,0.08,0.2,0.47,0.44,0.51
dataset14,0.58,0.08,0.19,0.2,0.14,0.27,0.41,0.51
dataset15,0.47,0.26,0.13,0.06,0.17,0.57,0.45,0.44
dataset16,0.38,0.0,0.15,0.15,0.12,0.36,0.44,0.44
dataset17,0.41,0.18,0.13,0.2,0.18,0.44,0.48,0.34
dataset18,0.63,0.33,0.37,0.04,0.16,0.27,0.5,0.5
dataset19,0.49,0.18,0.08,0.0,0.14,0.31,0.43,0.38
dataset20,0.66,0.1,0.26,0.44,0.31,0.52,0.42,0.37
dataset21,0.32,0.03,0.26,0.13,0.07,0.29,0.33,0.3
dataset22,0.48,0.21,0.21,0.13,0.07,0.44,0.29,0.41
dataset23,0.37,0.01,0.16,0.02,0.19,0.38,0.46,0.37
dataset24,0.39,0.07,0.29,0.06,0.08,0.25,0.37,0.4
dataset25,0.49,0.23,0.19,0.0,0.11,0.3,0.58,0.33
dataset26,0.59,0.08,0.35,0.19,0.32,0.36,0.34,0.51
dataset27,0.32,0.07,0.08,0.03,0.24,0.35,0.34,0.38
dataset28,0.58,0.04,0.24,0.11,0.09,0.58,0.41,0.4
dataset29,0.37,0.1,0.2,0.1,0.11,0.33,0.36,0.27
dataset30,0.45,0.21,0.12,0.09,0.08,0.36,0.4,0.47
dataset31,0.49,0.03,0.2,0.19,0.16,0.34,0.24,0.43
dataset32,0.47,0.0,0.02,0.12,0.14,0.32,0.35,0.39
dataset33,0.06,0.14,0.11,0.13,0.11,0.1,0.11,0.11
dataset34,0.57,0.09,0.22,0.19,0.33,0.55,0.6,0.41
dataset35,0.5,0.06,0.12,0.21,0.25,0.41,0.41,0.46
dataset36,0.5,0.06,0.01,0.01,0.16,0.38,0.48,0.24
