Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.04289271609344575,0.11836473249625667,0.055887524130896225,0.03470199045258373,0.04576204122610184,0.03786079873147151,0.06097375097746705,0.054832828899825506
0.07462553377183093,0.2166824027302996,0.088973089763682,0.07043410638211198,0.09085560402855956,0.060409346658642164,0.09883393288973731,0.09082733113548998
0.18814432989690721,0.007497890128591722,0.11438953488372093,0.012461476617982045,0.009908744022261348,0.05564387917329094,0.12370649106302917,0.10996563573883161
0.06627326373127554,0.7319564230594644,0.17862006354970494,0.4010440308669995,0.4049024058102587,0.20653654108034497,0.1790739900136178,0.1743077621425329
0.0980194696206781,0.014843726626883944,0.13946482367534999,0.02417187061824997,0.019344100537275886,0.08766859344894026,0.1463278931750742,0.13485513608428445
0.26,0.06,0.16,0.22,0.18,0.3,0.28,0.26
0.29,0.08,0.24,0.2,0.23,0.2,0.36,0.29
0.285,0.095,0.255,0.2,0.19,0.18,0.285,0.27
0.268,0.086,0.246,0.22,0.2,0.162,0.256,0.258
0.208,0.089,0.205,0.186,0.193,0.138,0.229,0.196
0.168,0.0875,0.1985,0.124,0.1605,0.1195,0.21,0.1945
