,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.132,0.048,0.112,0.114,0.12,0.11,0.214,0.196
dataset2,0.228,0.06,0.408,0.168,0.15,0.29,0.32,0.376
dataset3,0.096,0.058,0.116,0.054,0.122,0.108,0.042,0.092
dataset4,0.252,0.096,0.162,0.172,0.16,0.138,0.204,0.206
dataset5,0.136,0.06,0.244,0.14,0.1,0.09,0.194,0.216
dataset6,0.25,0.11,0.128,0.17,0.168,0.212,0.214,0.25
dataset7,0.34,0.102,0.454,0.158,0.186,0.308,0.424,0.446
dataset8,0.268,0.086,0.246,0.22,0.2,0.162,0.256,0.258
dataset9,0.238,0.074,0.224,0.166,0.208,0.232,0.254,0.28
dataset10,0.242,0.066,0.156,0.144,0.122,0.194,0.274,0.272
dataset11,0.318,0.096,0.318,0.31,0.238,0.284,0.356,0.348
dataset12,0.182,0.094,0.172,0.14,0.144,0.206,0.22,0.226
dataset13,0.362,0.094,0.242,0.126,0.174,0.274,0.332,0.342
dataset14,0.28,0.06,0.252,0.178,0.13,0.244,0.28,0.298
dataset15,0.266,0.088,0.278,0.184,0.164,0.258,0.31,0.294
dataset16,0.196,0.074,0.312,0.154,0.152,0.2,0.238,0.258
dataset17,0.506,0.104,0.15,0.31,0.264,0.368,0.322,0.522
dataset18,0.172,0.066,0.246,0.106,0.13,0.088,0.186,0.172
dataset19,0.178,0.08,0.13,0.142,0.154,0.12,0.228,0.208
dataset20,0.138,0.078,0.176,0.1,0.124,0.096,0.158,0.172
dataset21,0.27,0.086,0.378,0.116,0.142,0.176,0.302,0.296
dataset22,0.048,0.012,0.056,0.236,0.058,0.062,0.066,0.058
dataset23,0.256,0.088,0.434,0.184,0.194,0.148,0.184,0.122
dataset24,0.126,0.074,0.13,0.116,0.14,0.144,0.172,0.154
dataset25,0.246,0.078,0.226,0.196,0.156,0.208,0.318,0.302
dataset26,0.16,0.07,0.142,0.108,0.108,0.108,0.178,0.152
