Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.023497538763120353,0.0993630982996096,0.032669670476095806,0.022832854052146214,0.028722984638480487,0.02822225264351605,0.03176431747776808,0.03091523524287462
0.04235834948441053,0.18451448407223725,0.052143874863612695,0.044256403527207465,0.06352152189466313,0.04361059449095524,0.049775792857524696,0.050786360811086846
0.07933194154488518,0.006601161387762896,0.07572056668295066,0.010034846857232688,0.008763340840105747,0.06644998194293969,0.08982035928143713,0.08262319377547239
0.037848605577689244,0.7574701195219123,0.19297808764940239,0.38147410358565736,0.4011454183266932,0.18326693227091634,0.1643426294820717,0.1665836653386454
0.05124747134187458,0.013088261868497817,0.10876429724229877,0.01955528324525797,0.017151982965131752,0.09753511794328121,0.11615628299894402,0.11045983653925534
0.08,0.02,0.14,0.04,0.1,0.08,0.08,0.12
0.14,0.03,0.19,0.04,0.08,0.13,0.12,0.1
0.17,0.03,0.165,0.035,0.115,0.12,0.075,0.135
0.096,0.058,0.116,0.054,0.122,0.108,0.042,0.092
0.057,0.063,0.067,0.047,0.093,0.061,0.06,0.059
0.081,0.0585,0.0845,0.058,0.073,0.0765,0.0785,0.0945
