,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.137,0.064,0.114,0.1285,0.1415,0.098,0.1535,0.131
dataset2,0.214,0.073,0.183,0.21,0.19,0.211,0.262,0.2765
dataset3,0.081,0.0585,0.0845,0.058,0.073,0.0765,0.0785,0.0945
dataset4,0.137,0.085,0.1445,0.121,0.139,0.101,0.152,0.144
dataset5,0.139,0.064,0.14,0.144,0.137,0.1355,0.18,0.1435
dataset6,0.172,0.11,0.174,0.1615,0.141,0.16,0.199,0.1945
dataset7,0.2485,0.13,0.202,0.181,0.2445,0.2375,0.2945,0.292
dataset8,0.168,0.0875,0.1985,0.124,0.1605,0.1195,0.21,0.1945
dataset9,0.1845,0.0845,0.1975,0.19,0.17,0.177,0.201,0.201
dataset10,0.171,0.068,0.195,0.2025,0.1775,0.113,0.219,0.22
dataset11,0.236,0.095,0.245,0.3085,0.239,0.192,0.311,0.2685
dataset12,0.1255,0.076,0.1795,0.1235,0.137,0.1555,0.198,0.2035
dataset13,0.24,0.102,0.232,0.1945,0.2195,0.216,0.259,0.2475
dataset14,0.165,0.0775,0.187,0.184,0.1415,0.1515,0.1925,0.185
dataset15,0.1935,0.079,0.2075,0.221,0.1965,0.222,0.2355,0.238
dataset16,0.148,0.079,0.2225,0.179,0.2105,0.146,0.2335,0.2275
dataset17,0.2795,0.103,0.2795,0.306,0.279,0.2665,0.3285,0.329
dataset18,0.146,0.075,0.0685,0.177,0.18,0.1315,0.1895,0.1695
dataset19,0.126,0.0825,0.149,0.124,0.1175,0.101,0.1495,0.1505
dataset20,0.1215,0.077,0.1255,0.089,0.1085,0.097,0.143,0.141
dataset21,0.203,0.0895,0.2315,0.245,0.212,0.1705,0.2505,0.2415
dataset22,0.071,0.0125,0.0695,0.0755,0.073,0.0695,0.0705,0.0695
dataset23,0.1885,0.08,0.1455,0.226,0.1735,0.2225,0.2445,0.2355
dataset24,0.128,0.074,0.1215,0.1305,0.1135,0.0785,0.1695,0.1535
dataset25,0.1775,0.0705,0.088,0.181,0.186,0.1745,0.211,0.2245
dataset26,0.101,0.0735,0.1005,0.1155,0.096,0.079,0.1225,0.113
