,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.143,0.056,0.121,0.148,0.12,0.124,0.193,0.18
dataset2,0.254,0.07,0.364,0.157,0.159,0.264,0.301,0.293
dataset3,0.057,0.063,0.067,0.047,0.093,0.061,0.06,0.059
dataset4,0.207,0.086,0.162,0.154,0.161,0.131,0.19,0.173
dataset5,0.144,0.067,0.221,0.19,0.113,0.104,0.193,0.191
dataset6,0.208,0.107,0.168,0.175,0.156,0.184,0.224,0.208
dataset7,0.286,0.122,0.37,0.187,0.199,0.293,0.374,0.378
dataset8,0.208,0.089,0.205,0.186,0.193,0.138,0.229,0.196
dataset9,0.238,0.08,0.237,0.216,0.192,0.224,0.24,0.267
dataset10,0.175,0.058,0.15,0.189,0.117,0.166,0.214,0.235
dataset11,0.315,0.094,0.286,0.292,0.241,0.237,0.318,0.314
dataset12,0.153,0.084,0.16,0.14,0.129,0.159,0.251,0.252
dataset13,0.333,0.093,0.211,0.232,0.247,0.26,0.312,0.316
dataset14,0.223,0.066,0.239,0.214,0.148,0.188,0.242,0.216
dataset15,0.204,0.081,0.212,0.173,0.169,0.227,0.259,0.271
dataset16,0.19,0.067,0.247,0.207,0.168,0.189,0.272,0.244
dataset17,0.414,0.107,0.285,0.346,0.269,0.308,0.399,0.453
dataset18,0.135,0.07,0.137,0.179,0.123,0.108,0.23,0.244
dataset19,0.159,0.083,0.154,0.133,0.139,0.114,0.189,0.179
dataset20,0.12,0.079,0.156,0.127,0.123,0.094,0.173,0.168
dataset21,0.237,0.086,0.269,0.134,0.152,0.206,0.304,0.278
dataset22,0.121,0.013,0.032,0.143,0.132,0.122,0.125,0.12
dataset23,0.18,0.091,0.23,0.17,0.205,0.128,0.185,0.175
dataset24,0.143,0.074,0.114,0.129,0.128,0.113,0.159,0.174
dataset25,0.224,0.073,0.176,0.224,0.161,0.22,0.247,0.263
dataset26,0.134,0.069,0.135,0.111,0.103,0.101,0.147,0.144
