,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.18,0.04,0.1,0.1,0.1,0.12,0.26,0.18
dataset2,0.22,0.0,0.16,0.04,0.2,0.16,0.3,0.22
dataset3,0.08,0.02,0.14,0.04,0.1,0.08,0.08,0.12
dataset4,0.36,0.06,0.2,0.2,0.18,0.18,0.18,0.32
dataset5,0.18,0.04,0.16,0.18,0.12,0.06,0.18,0.2
dataset6,0.3,0.14,0.2,0.12,0.2,0.18,0.28,0.18
dataset7,0.42,0.08,0.18,0.16,0.28,0.26,0.32,0.46
dataset8,0.26,0.06,0.16,0.22,0.18,0.3,0.28,0.26
dataset9,0.16,0.06,0.2,0.08,0.18,0.22,0.24,0.36
dataset10,0.18,0.06,0.2,0.2,0.02,0.18,0.36,0.3
dataset11,0.5,0.1,0.36,0.3,0.2,0.3,0.42,0.42
dataset12,0.24,0.08,0.18,0.14,0.1,0.26,0.16,0.16
dataset13,0.2,0.1,0.2,0.06,0.24,0.16,0.14,0.28
dataset14,0.36,0.06,0.24,0.22,0.04,0.3,0.24,0.3
dataset15,0.44,0.1,0.42,0.18,0.1,0.32,0.44,0.44
dataset16,0.2,0.08,0.16,0.16,0.12,0.18,0.12,0.3
dataset17,0.32,0.1,0.3,0.16,0.26,0.26,0.32,0.52
dataset18,0.12,0.06,0.16,0.16,0.06,0.04,0.16,0.18
dataset19,0.24,0.06,0.3,0.08,0.2,0.14,0.26,0.3
dataset20,0.12,0.06,0.2,0.02,0.06,0.12,0.18,0.2
dataset21,0.3,0.06,0.16,0.14,0.08,0.06,0.36,0.06
dataset22,0.14,0.04,0.1,0.06,0.02,0.18,0.14,0.12
dataset23,0.48,0.12,0.28,0.1,0.24,0.2,0.4,0.22
dataset24,0.12,0.04,0.34,0.16,0.16,0.18,0.16,0.08
dataset25,0.28,0.12,0.28,0.2,0.22,0.14,0.28,0.34
dataset26,0.14,0.02,0.1,0.14,0.08,0.14,0.2,0.12
