,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.155,0.04,0.14,0.11,0.125,0.08,0.22,0.15
dataset2,0.225,0.05,0.255,0.185,0.15,0.175,0.215,0.275
dataset3,0.17,0.03,0.165,0.035,0.115,0.12,0.075,0.135
dataset4,0.26,0.105,0.24,0.165,0.145,0.185,0.185,0.215
dataset5,0.165,0.055,0.145,0.13,0.115,0.08,0.205,0.14
dataset6,0.315,0.11,0.22,0.15,0.15,0.27,0.195,0.265
dataset7,0.39,0.08,0.34,0.135,0.19,0.43,0.47,0.45
dataset8,0.285,0.095,0.255,0.2,0.19,0.18,0.285,0.27
dataset9,0.21,0.075,0.24,0.135,0.225,0.27,0.15,0.285
dataset10,0.25,0.09,0.195,0.14,0.095,0.17,0.31,0.285
dataset11,0.315,0.11,0.45,0.33,0.225,0.295,0.375,0.43
dataset12,0.18,0.1,0.18,0.145,0.165,0.21,0.2,0.155
dataset13,0.245,0.1,0.22,0.115,0.195,0.335,0.325,0.365
dataset14,0.37,0.045,0.315,0.19,0.145,0.21,0.26,0.33
dataset15,0.4,0.085,0.39,0.225,0.145,0.305,0.4,0.37
dataset16,0.2,0.06,0.175,0.15,0.175,0.18,0.26,0.265
dataset17,0.4,0.095,0.35,0.295,0.275,0.175,0.26,0.525
dataset18,0.235,0.065,0.335,0.115,0.15,0.1,0.225,0.19
dataset19,0.205,0.09,0.195,0.1,0.195,0.155,0.245,0.255
dataset20,0.15,0.095,0.16,0.085,0.125,0.085,0.21,0.165
dataset21,0.235,0.08,0.23,0.125,0.135,0.11,0.31,0.15
dataset22,0.07,0.02,0.07,0.115,0.015,0.09,0.09,0.075
dataset23,0.45,0.075,0.27,0.165,0.205,0.195,0.36,0.235
dataset24,0.18,0.06,0.24,0.12,0.14,0.12,0.15,0.15
dataset25,0.28,0.09,0.2,0.19,0.155,0.225,0.365,0.41
dataset26,0.17,0.075,0.165,0.115,0.12,0.12,0.19,0.155
