,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1365,0.117,0.183,0.123,0.142,0.191,0.1935,0.196
dataset2,0.1455,0.1065,0.162,0.119,0.1375,0.2035,0.2035,0.206
dataset3,0.223,0.1355,0.265,0.149,0.212,0.2755,0.278,0.2705
dataset4,0.2305,0.1675,0.2885,0.1595,0.222,0.286,0.276,0.289
dataset5,0.1825,0.135,0.247,0.116,0.1745,0.244,0.247,0.2485
dataset6,0.249,0.119,0.315,0.155,0.2365,0.293,0.2955,0.2995
dataset7,0.15,0.1485,0.199,0.0955,0.1485,0.209,0.2065,0.21
dataset8,0.1645,0.1895,0.265,0.183,0.183,0.21,0.2275,0.212
dataset9,0.2385,0.153,0.2975,0.172,0.2165,0.2965,0.291,0.2975
dataset10,0.1555,0.099,0.18,0.0895,0.1485,0.2165,0.217,0.2225
dataset11,0.1805,0.119,0.211,0.1195,0.17,0.225,0.226,0.2215
dataset12,0.126,0.0885,0.1805,0.061,0.1255,0.1775,0.1765,0.1835
dataset13,0.2025,0.1155,0.273,0.138,0.1945,0.291,0.2925,0.2995
dataset14,0.301,0.208,0.3525,0.2185,0.2845,0.36,0.3555,0.357
dataset15,0.1815,0.079,0.1875,0.1225,0.1725,0.2425,0.236,0.232
dataset16,0.154,0.084,0.196,0.0995,0.1485,0.2015,0.196,0.2005
dataset17,0.2035,0.1615,0.243,0.1045,0.1955,0.2415,0.242,0.243
dataset18,0.178,0.114,0.2345,0.113,0.172,0.2305,0.234,0.233
dataset19,0.2975,0.183,0.3765,0.2635,0.3015,0.3585,0.3495,0.3585
dataset20,0.1495,0.1345,0.2045,0.0915,0.141,0.208,0.212,0.201
dataset21,0.162,0.1065,0.22,0.093,0.1605,0.2385,0.2375,0.2365
dataset22,0.204,0.1535,0.255,0.1665,0.2005,0.267,0.2715,0.2705
dataset23,0.2995,0.1925,0.371,0.2075,0.2775,0.363,0.3455,0.3655
dataset24,0.174,0.107,0.209,0.0815,0.171,0.225,0.2275,0.2365
dataset25,0.154,0.0815,0.182,0.098,0.15,0.2215,0.2125,0.22
dataset26,0.1915,0.139,0.201,0.112,0.187,0.259,0.2655,0.261
dataset27,0.222,0.194,0.293,0.1705,0.229,0.283,0.2815,0.2805
dataset28,0.179,0.108,0.232,0.1045,0.1695,0.246,0.239,0.2435
dataset29,0.2255,0.146,0.279,0.136,0.214,0.286,0.296,0.2965
