,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.175,0.1,0.188,0.132,0.128,0.263,0.262,0.261
dataset2,0.186,0.126,0.157,0.089,0.174,0.264,0.253,0.261
dataset3,0.286,0.17,0.249,0.153,0.219,0.349,0.333,0.344
dataset4,0.3,0.155,0.237,0.179,0.259,0.386,0.368,0.383
dataset5,0.229,0.073,0.269,0.096,0.18,0.33,0.315,0.321
dataset6,0.331,0.151,0.342,0.165,0.199,0.403,0.401,0.398
dataset7,0.189,0.127,0.214,0.087,0.156,0.289,0.277,0.289
dataset8,0.187,0.185,0.33,0.182,0.201,0.256,0.264,0.263
dataset9,0.326,0.188,0.331,0.154,0.211,0.375,0.374,0.367
dataset10,0.201,0.118,0.16,0.083,0.162,0.294,0.297,0.293
dataset11,0.23,0.108,0.209,0.122,0.178,0.309,0.32,0.29
dataset12,0.164,0.052,0.199,0.07,0.156,0.246,0.238,0.251
dataset13,0.272,0.094,0.267,0.153,0.207,0.384,0.383,0.386
dataset14,0.414,0.228,0.38,0.194,0.299,0.461,0.429,0.449
dataset15,0.234,0.094,0.166,0.141,0.178,0.328,0.302,0.323
dataset16,0.197,0.085,0.228,0.107,0.16,0.272,0.272,0.282
dataset17,0.268,0.193,0.27,0.09,0.2,0.325,0.313,0.312
dataset18,0.23,0.094,0.285,0.12,0.18,0.316,0.331,0.32
dataset19,0.377,0.224,0.38,0.235,0.222,0.464,0.449,0.478
dataset20,0.179,0.139,0.23,0.085,0.136,0.295,0.272,0.267
dataset21,0.211,0.083,0.232,0.084,0.169,0.315,0.32,0.319
dataset22,0.268,0.152,0.261,0.125,0.222,0.325,0.347,0.347
dataset23,0.401,0.254,0.414,0.224,0.248,0.455,0.428,0.464
dataset24,0.217,0.11,0.214,0.079,0.184,0.329,0.334,0.333
dataset25,0.202,0.084,0.199,0.074,0.204,0.289,0.284,0.284
dataset26,0.249,0.161,0.186,0.126,0.184,0.347,0.349,0.356
dataset27,0.284,0.169,0.352,0.192,0.201,0.368,0.371,0.368
dataset28,0.221,0.111,0.219,0.094,0.203,0.334,0.309,0.321
dataset29,0.287,0.123,0.271,0.12,0.213,0.367,0.376,0.383
