Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.14638087677580192,0.3079658782169661,0.23451938844755085,0.2541186874795238,0.19106345149478227,0.2020026768245463,0.19266305967944525,0.19889342036955004
0.2972369490569578,0.4779242998470938,0.38687133398592743,0.462267556189875,0.4042867420059291,0.3472137240350005,0.3409076109479605,0.3537653243099996
0.2168141592920354,0.04277872420972932,0.10136409005212377,0.06509876677943904,0.08371238628411476,0.1077119184193754,0.10744228040758416,0.1079229675584852
0.19483101391650098,0.8986083499005965,0.6056991385023194,0.7905897945659377,0.6341948310139165,0.559973492379059,0.5520212060967529,0.5533465871438038
0.20523560209424083,0.0816695275092601,0.1736652099562987,0.12029241240231912,0.14790201684568427,0.1806713705366688,0.1798747570719067,0.18061864590093013
0.56,0.0,0.16,0.3,0.12,0.38,0.36,0.32
0.5,0.0,0.24,0.21,0.16,0.41,0.33,0.4
0.44,0.03,0.18,0.2,0.135,0.435,0.365,0.4
0.31,0.068,0.158,0.18,0.178,0.398,0.356,0.376
0.234,0.094,0.166,0.141,0.178,0.328,0.302,0.323
0.1815,0.079,0.1875,0.1225,0.1725,0.2425,0.236,0.232
