Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.08306480962454478,0.21506895458482644,0.1524535628548877,0.1520284084616047,0.10718633096000316,0.11147601794059647,0.10945190287453732,0.11543473656508337
0.1950218908494195,0.4009046945313059,0.33078693105780255,0.3745672098757018,0.2807414949174091,0.2582546206849604,0.2315821238443677,0.2623962990609061
0.14924039320822163,0.027613599650316425,0.07043900683699172,0.03734453033050227,0.05609469195706514,0.07067911910526922,0.07841452939010922,0.07784431137724551
0.10276923076923077,0.8941538461538462,0.48184615384615387,0.7224615384615385,0.4695384615384615,0.37723076923076926,0.3932307692307692,0.384
0.12172011661807579,0.053572745372760126,0.12291028961619967,0.07101808723005262,0.10021672029946804,0.11905224315401047,0.13075506445672191,0.1294471527849808
0.52,0.22,0.2,0.06,0.32,0.38,0.4,0.3
0.46,0.23,0.16,0.06,0.2,0.46,0.31,0.37
0.345,0.195,0.15,0.075,0.14,0.39,0.325,0.37
0.214,0.1,0.144,0.062,0.148,0.322,0.31,0.306
0.157,0.086,0.154,0.077,0.131,0.245,0.237,0.229
0.116,0.067,0.155,0.0795,0.1145,0.168,0.168,0.1705
