,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.234,0.112,0.202,0.14,0.16,0.336,0.33,0.334
dataset2,0.242,0.166,0.154,0.122,0.192,0.304,0.312,0.306
dataset3,0.358,0.114,0.238,0.14,0.25,0.414,0.386,0.432
dataset4,0.408,0.138,0.178,0.252,0.268,0.472,0.464,0.482
dataset5,0.332,0.038,0.258,0.13,0.202,0.408,0.36,0.354
dataset6,0.462,0.172,0.35,0.112,0.212,0.498,0.466,0.498
dataset7,0.252,0.092,0.242,0.086,0.176,0.372,0.35,0.358
dataset8,0.212,0.134,0.288,0.214,0.206,0.318,0.338,0.3
dataset9,0.462,0.214,0.304,0.146,0.226,0.434,0.486,0.454
dataset10,0.25,0.128,0.164,0.074,0.15,0.36,0.352,0.364
dataset11,0.324,0.12,0.216,0.1,0.188,0.364,0.358,0.388
dataset12,0.234,0.048,0.224,0.05,0.134,0.326,0.32,0.324
dataset13,0.372,0.062,0.286,0.118,0.174,0.474,0.474,0.442
dataset14,0.538,0.214,0.378,0.212,0.308,0.534,0.524,0.472
dataset15,0.31,0.068,0.158,0.18,0.178,0.398,0.356,0.376
dataset16,0.272,0.078,0.262,0.086,0.158,0.382,0.35,0.356
dataset17,0.374,0.162,0.252,0.114,0.216,0.402,0.37,0.366
dataset18,0.31,0.098,0.272,0.154,0.168,0.386,0.392,0.39
dataset19,0.49,0.27,0.396,0.266,0.206,0.554,0.54,0.538
dataset20,0.27,0.142,0.206,0.094,0.128,0.344,0.308,0.324
dataset21,0.29,0.09,0.198,0.07,0.17,0.388,0.394,0.366
dataset22,0.358,0.202,0.282,0.13,0.18,0.384,0.41,0.424
dataset23,0.512,0.212,0.38,0.204,0.348,0.538,0.444,0.494
dataset24,0.314,0.096,0.248,0.058,0.2,0.392,0.414,0.428
dataset25,0.268,0.118,0.22,0.088,0.218,0.346,0.34,0.344
dataset26,0.366,0.152,0.17,0.158,0.13,0.428,0.434,0.456
dataset27,0.372,0.188,0.366,0.136,0.236,0.442,0.466,0.454
dataset28,0.312,0.174,0.206,0.092,0.202,0.378,0.404,0.396
dataset29,0.406,0.144,0.23,0.182,0.232,0.448,0.454,0.474
