,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.5,0.14,0.19,0.23,0.03,0.36,0.48,0.37
dataset2,0.35,0.17,0.09,0.04,0.18,0.4,0.36,0.33
dataset3,0.53,0.18,0.25,0.09,0.21,0.37,0.27,0.37
dataset4,0.66,0.25,0.28,0.29,0.39,0.44,0.48,0.44
dataset5,0.38,0.1,0.33,0.15,0.2,0.42,0.42,0.35
dataset6,0.67,0.23,0.5,0.04,0.01,0.59,0.48,0.49
dataset7,0.48,0.0,0.19,0.01,0.14,0.41,0.52,0.39
dataset8,0.32,0.11,0.45,0.19,0.14,0.39,0.37,0.34
dataset9,0.57,0.18,0.5,0.19,0.26,0.47,0.52,0.53
dataset10,0.47,0.11,0.16,0.1,0.13,0.44,0.45,0.41
dataset11,0.55,0.17,0.19,0.0,0.32,0.39,0.43,0.33
dataset12,0.44,0.04,0.24,0.01,0.16,0.34,0.36,0.36
dataset13,0.63,0.13,0.12,0.13,0.14,0.62,0.53,0.46
dataset14,0.66,0.21,0.27,0.42,0.39,0.59,0.44,0.46
dataset15,0.5,0.0,0.24,0.21,0.16,0.41,0.33,0.4
dataset16,0.48,0.11,0.27,0.04,0.12,0.46,0.41,0.44
dataset17,0.54,0.21,0.31,0.07,0.31,0.4,0.47,0.49
dataset18,0.46,0.13,0.37,0.13,0.15,0.36,0.38,0.4
dataset19,0.63,0.28,0.45,0.42,0.29,0.71,0.57,0.53
dataset20,0.41,0.07,0.13,0.21,0.08,0.38,0.43,0.45
dataset21,0.5,0.07,0.32,0.03,0.15,0.46,0.38,0.51
dataset22,0.53,0.19,0.22,0.07,0.28,0.37,0.59,0.43
dataset23,0.73,0.43,0.4,0.17,0.45,0.55,0.25,0.52
dataset24,0.52,0.01,0.28,0.0,0.17,0.43,0.5,0.36
dataset25,0.43,0.24,0.14,0.04,0.26,0.39,0.33,0.34
dataset26,0.56,0.25,0.14,0.16,0.25,0.45,0.58,0.48
dataset27,0.61,0.24,0.52,0.1,0.14,0.46,0.41,0.56
dataset28,0.45,0.24,0.14,0.04,0.06,0.38,0.49,0.39
dataset29,0.53,0.11,0.42,0.24,0.26,0.52,0.62,0.5
