,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.365,0.115,0.265,0.15,0.11,0.37,0.375,0.37
dataset2,0.305,0.165,0.085,0.08,0.27,0.38,0.385,0.35
dataset3,0.46,0.135,0.21,0.085,0.305,0.38,0.35,0.445
dataset4,0.58,0.16,0.22,0.235,0.265,0.485,0.47,0.505
dataset5,0.44,0.06,0.285,0.115,0.285,0.425,0.41,0.335
dataset6,0.61,0.165,0.4,0.16,0.145,0.525,0.56,0.5
dataset7,0.4,0.01,0.215,0.065,0.12,0.42,0.485,0.445
dataset8,0.215,0.105,0.4,0.23,0.165,0.36,0.365,0.335
dataset9,0.565,0.21,0.37,0.135,0.275,0.445,0.495,0.5
dataset10,0.4,0.14,0.185,0.095,0.17,0.43,0.425,0.4
dataset11,0.445,0.125,0.19,0.1,0.24,0.39,0.37,0.435
dataset12,0.375,0.06,0.31,0.045,0.13,0.365,0.385,0.39
dataset13,0.535,0.085,0.175,0.13,0.125,0.6,0.46,0.49
dataset14,0.635,0.23,0.34,0.325,0.335,0.545,0.445,0.445
dataset15,0.44,0.03,0.18,0.2,0.135,0.435,0.365,0.4
dataset16,0.43,0.085,0.235,0.1,0.13,0.445,0.41,0.445
dataset17,0.49,0.16,0.295,0.075,0.295,0.42,0.405,0.42
dataset18,0.43,0.11,0.305,0.1,0.16,0.38,0.405,0.43
dataset19,0.64,0.355,0.43,0.355,0.235,0.635,0.57,0.63
dataset20,0.395,0.08,0.09,0.14,0.13,0.375,0.385,0.39
dataset21,0.475,0.065,0.24,0.085,0.185,0.425,0.435,0.495
dataset22,0.51,0.21,0.235,0.07,0.25,0.41,0.47,0.425
dataset23,0.71,0.28,0.285,0.27,0.39,0.505,0.41,0.485
dataset24,0.45,0.045,0.225,0.025,0.175,0.46,0.435,0.4
dataset25,0.35,0.165,0.225,0.12,0.205,0.41,0.36,0.385
dataset26,0.5,0.195,0.185,0.2,0.18,0.43,0.5,0.48
dataset27,0.525,0.315,0.415,0.08,0.28,0.5,0.445,0.535
dataset28,0.4,0.205,0.24,0.06,0.215,0.42,0.46,0.4
dataset29,0.57,0.225,0.325,0.2,0.26,0.47,0.525,0.52
