Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.08824706247295952,0.23372286846396173,0.1750811017612819,0.16929936558442601,0.11496263866761075,0.1267471749810052,0.12339434544238362,0.1285420704957048
0.18990961043600724,0.402705124353389,0.3405381131788831,0.3804197163624727,0.3022168007527499,0.27874683881621654,0.2441864633498592,0.2644332451084632
0.16810758885686838,0.030276336199467627,0.0862616636887036,0.04547236377891023,0.06731448763250883,0.0945546019532406,0.09581199156372401,0.09754610577655845
0.10028653295128939,0.9060171919770774,0.49799426934097424,0.7312320916905444,0.436676217765043,0.366189111747851,0.36446991404011464,0.3667621776504298
0.12562814070351755,0.05859461863464532,0.1470513579829089,0.08562034489700059,0.1166475315729047,0.1502998941550041,0.15173565549326015,0.15410546592824464
0.48,0.14,0.32,0.04,0.06,0.52,0.32,0.34
0.42,0.31,0.23,0.06,0.08,0.46,0.38,0.32
0.335,0.26,0.215,0.05,0.085,0.405,0.385,0.4
0.23,0.178,0.246,0.054,0.096,0.36,0.334,0.328
0.174,0.139,0.214,0.086,0.147,0.257,0.266,0.258
0.128,0.123,0.181,0.0955,0.13,0.1845,0.182,0.1905
