Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.09023300113029062,0.23155464626610822,0.16037366386332985,0.15673496322100908,0.1178818386536378,0.12277115821232781,0.12272709823296502,0.12465472887113072
0.1724972127281953,0.3915739841887397,0.3209733913508446,0.36171286354608656,0.2703318883959928,0.22596253467143315,0.22145840588322704,0.22396220956640445
0.1674917491749175,0.02692850207917346,0.06987932159165036,0.039154673927136,0.058982210557013706,0.08373831775700935,0.08202927814235235,0.08354788877445932
0.12385600976205004,0.896888346552776,0.5228798047589994,0.7370347773032336,0.4935936546674802,0.4100061012812691,0.39658328248932273,0.3959731543624161
0.14240617327253596,0.05228711673899125,0.12328274473135295,0.07435905327629189,0.10537284272224032,0.1390728476821192,0.13594060441284114,0.13798235356649305
0.44,0.06,0.14,0.1,0.12,0.44,0.4,0.44
0.46,0.12,0.09,0.07,0.13,0.39,0.38,0.41
0.35,0.125,0.12,0.06,0.185,0.385,0.365,0.375
0.254,0.076,0.22,0.09,0.13,0.316,0.318,0.338
0.182,0.073,0.185,0.056,0.145,0.246,0.257,0.246
0.1305,0.0955,0.1535,0.0695,0.1255,0.1835,0.1815,0.1805
